DT_CODE,Area_Name,Age,Total_P,Total_M,Total_F,Rural,Rural_M,Rural_F,Urban,Urban_M,Urban_F
468,District - Kachchh (01),0,39392,20539,18853,27605,14415,13190,11787,6124,5663
469,District - Banas Kantha (02),0,61439,32557,28882,54842,28986,25856,6597,3571,3026
470,District - Patan   (03),0,21908,11620,10288,18192,9638,8554,3716,1982,1734
471,District - Mahesana (04),0,29461,16025,13436,22646,12207,10439,6815,3818,2997
472,District - Sabar Kantha (05),0,45136,23690,21446,39617,20817,18800,5519,2873,2646
473,District - Gandhinagar (06),0,21446,11502,9944,12884,6916,5968,8562,4586,3976
474,District - Ahmadabad (07),0,108691,58215,50476,19843,10540,9303,88848,47675,41173
475,District - Surendranagar (08),0,28842,15355,13487,21884,11658,10226,6958,3697,3261
476,District - Rajkot (09),0,54981,29539,25442,24379,13053,11326,30602,16486,14116
477,District - Jamnagar (10),0,32516,17259,15257,18972,9986,8986,13544,7273,6271
478,District - Porbandar  (11),0,7805,4087,3718,4248,2247,2001,3557,1840,1717
479,District - Junagadh (12),0,36839,19508,17331,25178,13324,11854,11661,6184,5477
480,District - Amreli (13),0,20673,11162,9511,15500,8316,7184,5173,2846,2327
481,District - Bhavnagar (14),0,45038,24047,20991,27999,14895,13104,17039,9152,7887
482,District - Anand   (15),0,33582,17802,15780,24604,13050,11554,8978,4752,4226
483,District - Kheda (16),0,36921,19597,17324,29566,15595,13971,7355,4002,3353
484,District - Panch Mahals (17),0,45265,23316,21949,39900,20472,19428,5365,2844,2521
485,District - Dohad   (18),0,49182,25270,23912,45780,23480,22300,3402,1790,1612
486,District - Vadodara (19),0,61634,32776,28858,35048,18327,16721,26586,14449,12137
487,District - Narmada (20),0,9612,4889,4723,8861,4506,4355,751,383,368
488,District - Bharuch (21),0,21632,11333,10299,14875,7709,7166,6757,3624,3133
489,District - The Dangs (22),0,4829,2438,2391,4481,2267,2214,348,171,177
490,District - Navsari   (23),0,17180,9014,8166,11978,6215,5763,5202,2799,2403
491,District - Valsad (24),0,26112,13597,12515,17851,9209,8642,8261,4388,3873
492,District - Surat (25),0,89376,49082,40294,17227,8911,8316,72149,40171,31978
493,District - Tapi (26),0,11375,5905,5470,10230,5305,4925,1145,600,545
468,District - Kachchh (01),1,44978,23514,21464,31246,16307,14939,13732,7207,6525
469,District - Banas Kantha (02),1,67708,35889,31819,60161,31800,28361,7547,4089,3458
470,District - Patan   (03),1,24676,12984,11692,20382,10737,9645,4294,2247,2047
471,District - Mahesana (04),1,33631,18319,15312,25918,14022,11896,7713,4297,3416
472,District - Sabar Kantha (05),1,50578,26648,23930,44321,23318,21003,6257,3330,2927
